[568],3
[552],2
[639],1
[457],1
[455],5
[957],5
[359],2
[283],3
[762],6
[491],1
[280],2
[234],1
[356],2
[163],1
[761],1
[650],1
[575],2
[597],1
[776],1
[559],5
[662],2
[601],3
[227],1
[236],1
[396],2
[979],1
[572],2
[394],2
[810],2
[919],1
[24],1
[701],2
[522],2
[122],2
[418],3
[679],1
[722],1
[580],1
[174],1
[96],1
[355],1
[248],1
[700],3
[545],2
[664],2
[225],1
[500],1
[246],1
[110],1
[590],2
[266],1
[996],1
[37],5
[499],2
[610],3
[231],2
[879],1
[668],2
[18],1
[598],1
[577],1
[558],2
[698],14
[489],1
[360],1
[734],1
[752],1
[648],4
[843],1
[943],2
[623],2
[31],1
[625],2
[808],2
[350],1
[983],1
[407],3
[10],1
[716],8
[643],3
[253],1
[561],3
[542],1
[191],1
[306],2
[918],2
[683],2
[472],1
[101],1
[287],2
[665],5
[328],1
[43],2
[675],2
[367],1
[135],1
[335],1
[842],1
[228],3
[303],2
[13],4
[137],1
[233],1
[467],1
[298],1
[786],1
[794],5
[690],1
[551],2
[365],1
[347],1
[245],1
[106],3
[336],1
[150],1
[682],2
[618],1
[238],3
[540],1
[569],2
[728],1
[831],1
[5],3
[45],2
[27],1
[402],1
[718],25
[506],1
[260],1
[41],661
[413],1
[286],2
[938],1
[989],2
[760],4
[372],2
[140],1
[777],1
[220],1
[676],2
[485],2
[757],1
[851],2
[375],1
[463],1
[823],2
[616],3
[400],1
[146],1
[51],2
[520],2
[744],2
[382],2
[190],1
[204],2
[936],2
[346],1
[961],1
[711],1
[583],2
[369],2
[945],1
[476],3
[152],1
[588],3
[107],3
[145],1
[775],2
[425],3
[252],1
[127],1
[426],2
[342],4
[739],266
[309],2
[733],1
[6],2
[566],1
[468],27
[453],2
[77],2
[956],2
[677],2
[323],1
[845],1
[46],4
[519],1
[839],1
[89],1
[594],1
[424],1
[406],1
[435],1
[544],1
[772],1
[849],1
[673],3
[605],1
[307],1
[695],1
[635],2
[417],1
[275],1
[325],5
[353],2
[289],3
[720],1
[131],1
[647],2
[596],2
[611],1
[184],1
[693],2
[915],2
[35],1
[599],2
[507],3
[560],3
[600],1
[64],1
[578],3
[65],1
[549],1
[408],2
[441],3
[390],2
[419],1
[384],2
[16],2
[614],2
[72],3
[514],1
[358],1
[948],1
[339],6
[658],3
[672],5
[368],1
[169],1
[602],2
[216],1
[385],2
[670],2
[638],21
[655],1
[579],1
[200],2
[891],1
[907],1
[432],3
[691],1
[624],2
[820],1
[161],1
[143],1
[311],3
[612],2
[608],9
[684],1
[685],1
[633],3
[23],1
[363],3
[403],2
[301],1
[548],4
[671],1
[456],2
[205],3
[697],6
[167],1
[503],1
[428],2
[14],7
[4],1
[680],4
[83],1
[450],2
[427],2
[571],1
[395],1
[351],1
[737],4
[361],26
[987],2
[53],1
[502],1
[537],1
[464],1
[215],1
[392],2
[995],1
[354],4
[985],1
[976],2
[769],1
[607],3
[883],1
[526],1
[399],1
[243],7
[613],1
[518],1
[525],1
[414],1
[294],1
[438],1
[268],2
[627],1
[533],2
[993],1
[653],2
[69],2
[538],1
[47],1
[292],2
[222],1
[1],1
[299],2
[57],2
[724],1
[330],1
[992],1
[990],1
[785],1
[642],2
[641],2
[486],2
[479],1
[199],1
[379],5
[634],2
[944],1
[343],5
[753],3
[657],1
[620],1
[173],3
[193],1
[971],1
[321],3
[73],1
[946],1
[443],3
[332],2
[462],1
[515],2
[501],1
[68],3
[67],3
[159],1
[587],1
[494],1
[448],1
[38],6
[30],1
[991],2
[637],3
[223],2
[513],26
[460],1
[415],1
[196],1
[699],86
[530],1
[516],1
[393],1
[267],1
[344],2
[262],1
[416],1
[36],1
[834],1
[239],1
[826],1
[429],2
[512],1
[391],1
[586],4
[203],1
[617],1
[211],1
[165],3
[730],1
[327],1
[333],1
[90],3
[147],1
[304],2
[717],1
[139],2
[158],1
[565],2
[218],2
[807],1
[725],2
[226],2
[326],2
[250],3
[387],1
[313],2
[689],4
[271],1
[678],3
[195],1
[383],1
[773],1
[982],1
[454],2
[576],2
[305],1
[925],2
[17],4
[592],1
[492],2
[452],2
[412],1
[841],1
[295],1
[940],2
[534],194
[659],3
[750],2
[316],1
[496],1
[434],1
[521],4
[759],1
[478],3
[430],2
[103],1
[237],1
[797],1
[819],2
[258],2
[12],1
[667],1
[504],1
[100],1
[99],1
[844],1
[141],2
[7],1
[666],2
[281],2
[405],2
[130],1
[615],5
[264],1
[178],2
[669],3
[960],1
[994],1
[488],3
[674],2
[631],3
[357],3
[168],2
[458],1
[656],2
[714],5
[988],1
[442],2
[209],1
[3],16
[296],1
[498],2
[749],2
[86],1
[409],83
[581],2
[148],2
[828],1
[732],6
[719],2
[622],1
[171],1
[553],3
[547],6
[758],1
[564],8
[285],1
[941],1
[293],3
[480],2
[338],1
[978],2
[366],2
[589],4
[470],1
[175],3
[482],3
[475],3
[604],1
[120],1
[550],4
[632],2
[337],13
[593],2
[451],2
[206],1
[8],6
[556],12
[860],2
[187],3
[495],3
[595],2
[688],3
[160],1
[591],1
[999],1
[111],2
[707],1
[164],1
[444],1
[950],1
[754],2
[78],2
[825],1
[397],1
[663],1
[312],1
[25],1
[649],1
[913],1
[324],3
[555],2
[554],2
[459],2
[709],1
[812],1
[696],1
[278],1
[61],1
[126],15
[11],4
[251],1
[440],2
[388],2
[314],1
[517],5
[376],2
[380],1
[469],1
[291],1
[735],1
[908],1
[322],4
[129],1
[509],1
[288],2
[348],2
[28],1
[20],20
[628],1
[563],1
[437],1
[787],2
[235],1
[782],11
[505],3
[259],1
[317],1
[9],6
[694],3
[531],1
[386],2
[404],1
[702],3
[471],4
[421],1
[210],1
[85],1
[308],1
[34],1
[824],1
[274],1
[422],2
[420],1
[932],2
[986],1
[774],1
[755],1
[536],3
[532],1
[477],2
[186],2
[801],2
[644],4
[411],1
[686],1
[284],2
[778],2
[606],2
[381],2
[179],2
[290],1
[32],1
[151],1
[791],7
[942],4
[373],2
[524],1
[731],3
[446],3
[651],1
[523],3
[410],2
[466],2
[370],1
[439],2
[277],1
[256],2
[50],1
[541],3
[652],1
[703],10
[692],5
[528],3
[142],1
[445],1
[433],2
[378],1
[822],3
[63],1
[447],1
[727],1
[927],2
[661],1
[779],2
[66],1
[98],1
[609],2
[297],1
[636],2
[481],1
[543],1
[487],1
[282],4
[128],3
[546],1
[903],4
[244],1
[660],1
[645],2
[508],1
[465],1
[300],2
[345],23
[626],4
[619],3
[582],2
[401],1
[352],1
[255],2
[917],1
[493],3
[910],2
[362],3
[640],3
[998],2
[741],2
[249],2
[535],3
[423],3
[449],1
[198],1
[767],1
[573],4
